crop_id,crop_type,soil_type,season,temperature_c,humidity_pct,rainfall_mm,nitrogen_ppm,phosphorus_ppm,potassium_ppm,disease_label,disease_severity,yield_kg_per_hectare,quality_score,is_diseased,npk_total,yield_category
1,Wheat,Sandy,Summer,14.2,36.7,222.2,86.4,49.3,56.4,Healthy,0.0,3753.6,5.47,0,192.1,Medium
2,Rice,Silty,Summer,23.5,48.1,260.8,116.2,17.0,134.5,Rust,0.64,3409.5,5.16,1,267.7,Medium
3,Rice,Loamy,Autumn,28.1,82.5,218.9,85.1,78.0,125.7,Powdery Mildew,0.19,4008.2,7.32,1,288.8,Medium
4,Potato,Clay,Summer,33.2,94.0,256.6,131.3,33.5,140.7,Powdery Mildew,0.62,15963.0,7.46,1,305.5,High
5,Rice,Clay,Summer,26.0,45.9,138.7,47.8,74.4,187.6,Powdery Mildew,0.42,3935.1,5.33,1,309.8,Medium
6,Corn,Clay,Autumn,22.0,34.3,273.9,89.4,58.8,92.5,Healthy,0.0,5052.9,7.5,0,240.7,Medium
7,Tomato,Loamy,Winter,36.9,56.0,65.8,149.7,43.2,68.2,Leaf Blight,0.34,23949.8,4.7,1,261.09999999999997,Very High
8,Wheat,Silty,Spring,21.5,68.7,140.4,45.2,46.5,238.5,Leaf Blight,0.66,2801.7,6.74,1,330.2,Low
9,Wheat,Loamy,Spring,18.8,40.3,1.0,111.1,59.0,244.4,Rust,0.78,2602.0,6.75,1,414.5,Low
10,Potato,Loamy,Summer,14.6,79.6,161.8,119.0,44.8,50.1,Healthy,0.0,22223.1,6.62,0,213.9,Very High
11,Wheat,Loamy,Summer,11.7,87.1,284.1,22.0,41.4,63.8,Healthy,0.0,3950.6,8.8,0,127.19999999999999,Medium
12,Rice,Sandy,Autumn,25.8,69.4,289.3,140.0,61.6,188.0,Leaf Blight,0.69,3694.7,6.79,1,389.6,Medium
13,Tomato,Clay,Summer,16.7,52.0,176.5,42.2,21.5,64.2,Powdery Mildew,0.49,24247.2,6.96,1,127.9,Very High
14,Rice,Loamy,Spring,25.4,48.1,145.6,85.5,59.3,226.5,Healthy,0.0,5047.3,7.88,0,371.3,Medium
15,Rice,Clay,Winter,20.6,56.7,259.2,17.6,54.0,179.2,Root Rot,0.83,2726.8,3.98,1,250.79999999999998,Low
16,Corn,Sandy,Winter,14.2,41.9,138.8,132.4,10.7,211.6,Healthy,0.0,5085.3,9.28,0,354.7,Medium
17,Wheat,Clay,Spring,37.8,85.2,49.9,78.0,21.0,130.2,Healthy,0.0,3659.8,5.29,0,229.2,Medium
18,Tomato,Loamy,Winter,18.6,75.3,219.2,119.7,54.6,147.3,Healthy,0.0,34367.8,5.95,0,321.6,Very High
