weather_id,region,date,temperature_c,humidity_pct,rainfall_mm,wind_speed_kmh,uv_index,frost_risk,month,day_of_year,heat_index,season
1,North,2023-01-01,13.8,50.1,15.8,73.1,4.5,0,1,1,28.32,Winter
2,North,2023-01-02,8.4,83.5,0.7,30.2,9.3,0,1,2,38.44,Winter
3,North,2023-01-03,9.5,80.6,5.0,55.4,0.5,0,1,3,37.940000000000005,Winter
4,North,2023-01-04,12.9,38.4,6.2,55.2,0.8,0,1,4,23.1,Winter
5,North,2023-01-05,9.0,40.3,5.8,43.0,1.8,0,1,5,21.52,Winter
6,North,2023-01-06,12.8,92.1,2.1,57.2,7.6,0,1,6,44.519999999999996,Winter
7,North,2023-01-07,10.0,48.6,8.8,60.9,4.3,0,1,7,25.44,Winter
8,North,2023-01-08,13.7,43.1,0.1,6.9,9.3,0,1,8,25.46,Winter
9,North,2023-01-09,9.5,63.7,13.9,8.9,0.4,0,1,9,31.180000000000003,Winter
10,North,2023-01-10,10.7,35.4,7.0,55.5,0.7,0,1,10,20.58,Winter
11,North,2023-01-11,11.0,54.1,4.4,61.5,7.3,0,1,11,28.240000000000002,Winter
12,North,2023-01-12,11.4,93.3,0.0,61.5,8.0,0,1,12,44.16,Winter
13,North,2023-01-13,8.6,30.9,14.1,20.1,1.9,0,1,13,17.52,Winter
14,North,2023-01-14,11.1,88.6,18.0,4.5,4.2,0,1,14,42.099999999999994,Winter
15,North,2023-01-15,14.0,62.9,6.7,26.9,7.9,0,1,15,33.56,Winter
16,North,2023-01-16,8.5,58.6,16.1,67.5,6.6,0,1,16,28.54,Winter
17,North,2023-01-17,10.1,40.5,0.0,8.9,0.7,0,1,17,22.259999999999998,Winter
18,North,2023-01-18,11.4,31.1,3.0,57.6,8.0,0,1,18,19.28,Winter
19,North,2023-01-19,10.3,32.5,14.9,0.5,0.0,0,1,19,19.18,Winter
20,North,2023-01-20,8.7,55.2,0.0,45.4,9.4,0,1,20,27.3,Winter
21,North,2023-01-21,12.9,32.3,3.5,65.9,5.2,0,1,21,20.66,Winter
22,North,2023-01-22,11.8,55.1,4.5,54.8,4.3,0,1,22,29.120000000000005,Winter
23,North,2023-01-23,13.8,45.4,0.0,78.4,7.0,0,1,23,26.439999999999998,Winter
24,North,2023-01-24,11.2,88.4,5.4,36.3,9.7,0,1,24,42.080000000000005,Winter
